"ICD10_code";"ICD10_code_dot";"diagnosis";"code_description"
"N62";"N62";"Hypertrophy of breast";"N62 Hypertrophy of breast"
"N63";"N63";"Unspecified lump in breast";"N63 Unspecified lump in breast"
"N64";"N64";"Other disorders of breast";"N64 Other disorders of breast"
"N65";"N65";"Deformity and disproportion of reconstructed breast";"N65 Deformity and disproportion of reconstructed breast"
"N70";"N70";"Salpingitis and oophoritis";"N70 Salpingitis and oophoritis"
"N71";"N71";"Inflammatory disease of uterus, except cervix";"N71 Inflammatory disease of uterus, except cervix"
"N72";"N72";"Inflammatory disease of cervix uteri";"N72 Inflammatory disease of cervix uteri"
"N73";"N73";"Other female pelvic inflammatory diseases";"N73 Other female pelvic inflammatory diseases"
"N74";"N74";"Female pelvic inflam disorders in diseases classd elswhr";"N74 Female pelvic inflam disorders in diseases classd elswhr"
"N75";"N75";"Diseases of Bartholin's gland";"N75 Diseases of Bartholin's gland"
"N76";"N76";"Other inflammation of vagina and vulva";"N76 Other inflammation of vagina and vulva"
"N77";"N77";"Vulvovaginal ulceration and inflam in diseases classd elswhr";"N77 Vulvovaginal ulceration and inflam in diseases classd elswhr"
"N80";"N80";"Endometriosis";"N80 Endometriosis"
"N81";"N81";"Female genital prolapse";"N81 Female genital prolapse"
"N82";"N82";"Fistulae involving female genital tract";"N82 Fistulae involving female genital tract"
"N83";"N83";"Noninflammatory disord of ovary, fallop and broad ligament";"N83 Noninflammatory disord of ovary, fallop and broad ligament"
"N84";"N84";"Polyp of female genital tract";"N84 Polyp of female genital tract"
"N85";"N85";"Other noninflammatory disorders of uterus, except cervix";"N85 Other noninflammatory disorders of uterus, except cervix"
"N86";"N86";"Erosion and ectropion of cervix uteri";"N86 Erosion and ectropion of cervix uteri"
"N87";"N87";"Dysplasia of cervix uteri";"N87 Dysplasia of cervix uteri"
"N88";"N88";"Other noninflammatory disorders of cervix uteri";"N88 Other noninflammatory disorders of cervix uteri"
"N89";"N89";"Other noninflammatory disorders of vagina";"N89 Other noninflammatory disorders of vagina"
"N90";"N90";"Other noninflammatory disorders of vulva and perineum";"N90 Other noninflammatory disorders of vulva and perineum"
"N91";"N91";"Absent, scanty and rare menstruation";"N91 Absent, scanty and rare menstruation"
"N92";"N92";"Excessive, frequent and irregular menstruation";"N92 Excessive, frequent and irregular menstruation"
"N93";"N93";"Other abnormal uterine and vaginal bleeding";"N93 Other abnormal uterine and vaginal bleeding"
"N94";"N94";"Pain and oth cond assoc w fem gntl org and menstrual cycle";"N94 Pain and oth cond assoc w fem gntl org and menstrual cycle"
"N95";"N95";"Menopausal and other perimenopausal disorders";"N95 Menopausal and other perimenopausal disorders"
"N96";"N96";"Recurrent pregnancy loss";"N96 Recurrent pregnancy loss"
"N97";"N97";"Female infertility";"N97 Female infertility"
"N98";"N98";"Complications associated with artificial fertilization";"N98 Complications associated with artificial fertilization"
"N99";"N99";"Intraop and postproc comp and disorders of GU sys, NEC";"N99 Intraop and postproc comp and disorders of GU sys, NEC"
"O00";"O00";"Ectopic pregnancy";"O00 Ectopic pregnancy"
"O01";"O01";"Hydatidiform mole";"O01 Hydatidiform mole"
"O02";"O02";"Other abnormal products of conception";"O02 Other abnormal products of conception"
"O03";"O03";"Spontaneous abortion";"O03 Spontaneous abortion"
"O04";"O04";"Complications following (induced) termination of pregnancy";"O04 Complications following (induced) termination of pregnancy"
"O07";"O07";"Failed attempted termination of pregnancy";"O07 Failed attempted termination of pregnancy"
"O08";"O08";"Complications following ectopic and molar pregnancy";"O08 Complications following ectopic and molar pregnancy"
"O09";"O09";"Supervision of high risk pregnancy";"O09 Supervision of high risk pregnancy"
"O10";"O10";"Pre-existing hypertension compl preg/chldbrth";"O10 Pre-existing hypertension compl preg/chldbrth"
"O11";"O11";"Pre-existing hypertension with pre-eclampsia";"O11 Pre-existing hypertension with pre-eclampsia"
"O12";"O12";"Gestational edema and proteinuria without hypertension";"O12 Gestational edema and proteinuria without hypertension"
"O13";"O13";"Gestational hypertension without significant proteinuria";"O13 Gestational hypertension without significant proteinuria"
"O14";"O14";"Pre-eclampsia";"O14 Pre-eclampsia"
"O15";"O15";"Eclampsia";"O15 Eclampsia"
"O16";"O16";"Unspecified maternal hypertension";"O16 Unspecified maternal hypertension"
"O20";"O20";"Hemorrhage in early pregnancy";"O20 Hemorrhage in early pregnancy"
"O21";"O21";"Excessive vomiting in pregnancy";"O21 Excessive vomiting in pregnancy"
"O22";"O22";"Venous complications and hemorrhoids in pregnancy";"O22 Venous complications and hemorrhoids in pregnancy"
"O23";"O23";"Infections of genitourinary tract in pregnancy";"O23 Infections of genitourinary tract in pregnancy"
"O24";"O24";"Diabetes in pregnancy, childbirth, and the puerperium";"O24 Diabetes in pregnancy, childbirth, and the puerperium"
"O25";"O25";"Malnutrition in pregnancy, childbirth and the puerperium";"O25 Malnutrition in pregnancy, childbirth and the puerperium"
"O26";"O26";"Maternal care for oth conditions predom related to pregnancy";"O26 Maternal care for oth conditions predom related to pregnancy"
"O28";"O28";"Abnormal findings on antenatal screening of mother";"O28 Abnormal findings on antenatal screening of mother"
"O29";"O29";"Complications of anesthesia during pregnancy";"O29 Complications of anesthesia during pregnancy"
"O30";"O30";"Multiple gestation";"O30 Multiple gestation"
"O31";"O31";"Complications specific to multiple gestation";"O31 Complications specific to multiple gestation"
"O32";"O32";"Maternal care for malpresentation of fetus";"O32 Maternal care for malpresentation of fetus"
"O33";"O33";"Maternal care for disproportion";"O33 Maternal care for disproportion"
"O34";"O34";"Maternal care for abnormality of pelvic organs";"O34 Maternal care for abnormality of pelvic organs"
"O35";"O35";"Maternal care for known or suspected fetal abnlt and damage";"O35 Maternal care for known or suspected fetal abnlt and damage"
"O36";"O36";"Maternal care for other fetal problems";"O36 Maternal care for other fetal problems"
"O40";"O40";"Polyhydramnios";"O40 Polyhydramnios"
"O41";"O41";"Other disorders of amniotic fluid and membranes";"O41 Other disorders of amniotic fluid and membranes"
"O42";"O42";"Premature rupture of membranes";"O42 Premature rupture of membranes"
"O43";"O43";"Placental disorders";"O43 Placental disorders"
"O44";"O44";"Placenta previa";"O44 Placenta previa"
"O45";"O45";"Premature separation of placenta [abruptio placentae]";"O45 Premature separation of placenta [abruptio placentae]"
"O46";"O46";"Antepartum hemorrhage, not elsewhere classified";"O46 Antepartum hemorrhage, not elsewhere classified"
"O47";"O47";"False labor";"O47 False labor"
"O48";"O48";"Late pregnancy";"O48 Late pregnancy"
"O60";"O60";"Preterm labor";"O60 Preterm labor"
"O61";"O61";"Failed induction of labor";"O61 Failed induction of labor"
"O62";"O62";"Abnormalities of forces of labor";"O62 Abnormalities of forces of labor"
"O63";"O63";"Long labor";"O63 Long labor"
"O64";"O64";"Obstructed labor due to malposition and malpresent of fetus";"O64 Obstructed labor due to malposition and malpresent of fetus"
"O65";"O65";"Obstructed labor due to maternal pelvic abnormality";"O65 Obstructed labor due to maternal pelvic abnormality"
"O66";"O66";"Other obstructed labor";"O66 Other obstructed labor"
"O67";"O67";"Labor and delivery comp by intrapartum hemorrhage, NEC";"O67 Labor and delivery comp by intrapartum hemorrhage, NEC"
"O68";"O68";"Labor and delivery comp by abnlt of fetal acid-base balance";"O68 Labor and delivery comp by abnlt of fetal acid-base balance"
"O69";"O69";"Labor and delivery complicated by umbilical cord comp";"O69 Labor and delivery complicated by umbilical cord comp"
"O70";"O70";"Perineal laceration during delivery";"O70 Perineal laceration during delivery"
"O71";"O71";"Other obstetric trauma";"O71 Other obstetric trauma"
"O72";"O72";"Postpartum hemorrhage";"O72 Postpartum hemorrhage"
"O73";"O73";"Retained placenta and membranes, without hemorrhage";"O73 Retained placenta and membranes, without hemorrhage"
"O74";"O74";"Complications of anesthesia during labor and delivery";"O74 Complications of anesthesia during labor and delivery"
"O75";"O75";"Oth complications of labor and delivery, NEC";"O75 Oth complications of labor and delivery, NEC"
"O76";"O76";"Abnlt in fetal heart rate and rhythm comp labor and delivery";"O76 Abnlt in fetal heart rate and rhythm comp labor and delivery"
"O77";"O77";"Other fetal stress complicating labor and delivery";"O77 Other fetal stress complicating labor and delivery"
"O80";"O80";"Encounter for full-term uncomplicated delivery";"O80 Encounter for full-term uncomplicated delivery"
"O82";"O82";"Encounter for cesarean delivery without indication";"O82 Encounter for cesarean delivery without indication"
"O85";"O85";"Puerperal sepsis";"O85 Puerperal sepsis"
"O86";"O86";"Other puerperal infections";"O86 Other puerperal infections"
"O87";"O87";"Venous complications and hemorrhoids in the puerperium";"O87 Venous complications and hemorrhoids in the puerperium"
"O88";"O88";"Obstetric embolism";"O88 Obstetric embolism"
"O89";"O89";"Complications of anesthesia during the puerperium";"O89 Complications of anesthesia during the puerperium"
"O90";"O90";"Complications of the puerperium, not elsewhere classified";"O90 Complications of the puerperium, not elsewhere classified"
"O91";"O91";"Infect of breast assoc w pregnancy, the puerp and lactation";"O91 Infect of breast assoc w pregnancy, the puerp and lactation"
"O92";"O92";"Oth disord of brst/lactatn assoc w pregnancy and the puerp";"O92 Oth disord of brst/lactatn assoc w pregnancy and the puerp"
"O94";"O94";"Sequelae of comp of pregnancy, chldbrth, and the puerperium";"O94 Sequelae of comp of pregnancy, chldbrth, and the puerperium"
"O98";"O98";"Matern infec/parastc dis classd elsw but compl preg/chldbrth";"O98 Matern infec/parastc dis classd elsw but compl preg/chldbrth"
"O99";"O99";"Oth maternal diseases classd elsw but compl preg/chldbrth";"O99 Oth maternal diseases classd elsw but compl preg/chldbrth"
"O9A";"O9A";"Maternl malig or injury compl preg/childbrth";"O9A Maternl malig or injury compl preg/childbrth"
"P00";"P00";"NB aff by matern cond that may be unrelated to present preg";"P00 NB aff by matern cond that may be unrelated to present preg"
"P01";"P01";"Newborn affected by maternal complications of pregnancy";"P01 Newborn affected by maternal complications of pregnancy"
"P02";"P02";"Newborn affected by comp of placenta, cord and membranes";"P02 Newborn affected by comp of placenta, cord and membranes"
"P03";"P03";"Newborn affected by other comp of labor and delivery";"P03 Newborn affected by other comp of labor and delivery"
"P04";"P04";"NB aff by noxious substnc transmitd via plcnta or brst milk";"P04 NB aff by noxious substnc transmitd via plcnta or brst milk"
"P05";"P05";"Disord of NB related to slow fetal growth and fetal malnut";"P05 Disord of NB related to slow fetal growth and fetal malnut"
"P07";"P07";"Disord of NB related to short gest and low birth weight, NEC";"P07 Disord of NB related to short gest and low birth weight, NEC"
"P08";"P08";"Disord of newborn related to long gest and high birth weight";"P08 Disord of newborn related to long gest and high birth weight"
"P09";"P09";"Abnormal findings on neonatal screening";"P09 Abnormal findings on neonatal screening"
"P10";"P10";"Intracranial laceration and hemorrhage due to birth injury";"P10 Intracranial laceration and hemorrhage due to birth injury"
"P11";"P11";"Other birth injuries to central nervous system";"P11 Other birth injuries to central nervous system"
"P12";"P12";"Birth injury to scalp";"P12 Birth injury to scalp"
"P13";"P13";"Birth injury to skeleton";"P13 Birth injury to skeleton"
"P14";"P14";"Birth injury to peripheral nervous system";"P14 Birth injury to peripheral nervous system"
"P15";"P15";"Other birth injuries";"P15 Other birth injuries"
"P19";"P19";"Metabolic acidemia in newborn";"P19 Metabolic acidemia in newborn"
"P22";"P22";"Respiratory distress of newborn";"P22 Respiratory distress of newborn"
"P23";"P23";"Congenital pneumonia";"P23 Congenital pneumonia"
"P24";"P24";"Neonatal aspiration";"P24 Neonatal aspiration"
"P25";"P25";"Interstit emphysema and rel cond origin in perinat period";"P25 Interstit emphysema and rel cond origin in perinat period"
"P26";"P26";"Pulmonary hemorrhage originating in the perinatal period";"P26 Pulmonary hemorrhage originating in the perinatal period"
"P27";"P27";"Chronic respiratory disease origin in the perinatal period";"P27 Chronic respiratory disease origin in the perinatal period"
"P28";"P28";"Oth respiratory conditions origin in the perinatal period";"P28 Oth respiratory conditions origin in the perinatal period"
"P29";"P29";"Cardiovascular disorders originating in the perinatal period";"P29 Cardiovascular disorders originating in the perinatal period"
"P35";"P35";"Congenital viral diseases";"P35 Congenital viral diseases"
"P36";"P36";"Bacterial sepsis of newborn";"P36 Bacterial sepsis of newborn"
"P37";"P37";"Other congenital infectious and parasitic diseases";"P37 Other congenital infectious and parasitic diseases"
"P38";"P38";"Omphalitis of newborn";"P38 Omphalitis of newborn"
"P39";"P39";"Other infections specific to the perinatal period";"P39 Other infections specific to the perinatal period"
"P50";"P50";"Newborn affected by intrauterine (fetal) blood loss";"P50 Newborn affected by intrauterine (fetal) blood loss"
"P51";"P51";"Umbilical hemorrhage of newborn";"P51 Umbilical hemorrhage of newborn"
"P52";"P52";"Intracranial nontraumatic hemorrhage of newborn";"P52 Intracranial nontraumatic hemorrhage of newborn"
"P53";"P53";"Hemorrhagic disease of newborn";"P53 Hemorrhagic disease of newborn"
"P54";"P54";"Other neonatal hemorrhages";"P54 Other neonatal hemorrhages"
"P55";"P55";"Hemolytic disease of newborn";"P55 Hemolytic disease of newborn"
"P56";"P56";"Hydrops fetalis due to hemolytic disease";"P56 Hydrops fetalis due to hemolytic disease"
"P57";"P57";"Kernicterus";"P57 Kernicterus"
"P58";"P58";"Neonatal jaundice due to other excessive hemolysis";"P58 Neonatal jaundice due to other excessive hemolysis"
"P59";"P59";"Neonatal jaundice from other and unspecified causes";"P59 Neonatal jaundice from other and unspecified causes"
"P60";"P60";"Disseminated intravascular coagulation of newborn";"P60 Disseminated intravascular coagulation of newborn"
"P61";"P61";"Other perinatal hematological disorders";"P61 Other perinatal hematological disorders"
"P70";"P70";"Transitory disord of carbohydrate metab specific to newborn";"P70 Transitory disord of carbohydrate metab specific to newborn"
"P71";"P71";"Transitory neonatal disorders of calcium and magnesium metab";"P71 Transitory neonatal disorders of calcium and magnesium metab"
"P72";"P72";"Other transitory neonatal endocrine disorders";"P72 Other transitory neonatal endocrine disorders"
"P74";"P74";"Oth transitory neonatal electrolyte and metabolic disturb";"P74 Oth transitory neonatal electrolyte and metabolic disturb"
"P76";"P76";"Other intestinal obstruction of newborn";"P76 Other intestinal obstruction of newborn"
"P77";"P77";"Necrotizing enterocolitis of newborn";"P77 Necrotizing enterocolitis of newborn"
"P78";"P78";"Other perinatal digestive system disorders";"P78 Other perinatal digestive system disorders"
"P80";"P80";"Hypothermia of newborn";"P80 Hypothermia of newborn"
"P81";"P81";"Other disturbances of temperature regulation of newborn";"P81 Other disturbances of temperature regulation of newborn"
"P83";"P83";"Other conditions of integument specific to newborn";"P83 Other conditions of integument specific to newborn"
"P84";"P84";"Other problems with newborn";"P84 Other problems with newborn"
"P90";"P90";"Convulsions of newborn";"P90 Convulsions of newborn"
"P91";"P91";"Other disturbances of cerebral status of newborn";"P91 Other disturbances of cerebral status of newborn"
"P92";"P92";"Feeding problems of newborn";"P92 Feeding problems of newborn"
"P93";"P93";"Reactions and intoxications due to drugs administered to NB";"P93 Reactions and intoxications due to drugs administered to NB"
"P94";"P94";"Disorders of muscle tone of newborn";"P94 Disorders of muscle tone of newborn"
"P95";"P95";"Stillbirth";"P95 Stillbirth"
"P96";"P96";"Other conditions originating in the perinatal period";"P96 Other conditions originating in the perinatal period"
"Q00";"Q00";"Anencephaly and similar malformations";"Q00 Anencephaly and similar malformations"
"Q01";"Q01";"Encephalocele";"Q01 Encephalocele"
"Q02";"Q02";"Microcephaly";"Q02 Microcephaly"
"Q03";"Q03";"Congenital hydrocephalus";"Q03 Congenital hydrocephalus"
"Q04";"Q04";"Other congenital malformations of brain";"Q04 Other congenital malformations of brain"
"Q05";"Q05";"Spina bifida";"Q05 Spina bifida"
"Q06";"Q06";"Other congenital malformations of spinal cord";"Q06 Other congenital malformations of spinal cord"
"Q07";"Q07";"Other congenital malformations of nervous system";"Q07 Other congenital malformations of nervous system"
"Q10";"Q10";"Congenital malform of eyelid, lacrimal apparatus and orbit";"Q10 Congenital malform of eyelid, lacrimal apparatus and orbit"
"Q11";"Q11";"Anophthalmos, microphthalmos and macrophthalmos";"Q11 Anophthalmos, microphthalmos and macrophthalmos"
"Q12";"Q12";"Congenital lens malformations";"Q12 Congenital lens malformations"
"Q13";"Q13";"Congenital malformations of anterior segment of eye";"Q13 Congenital malformations of anterior segment of eye"
"Q14";"Q14";"Congenital malformations of posterior segment of eye";"Q14 Congenital malformations of posterior segment of eye"
"Q15";"Q15";"Other congenital malformations of eye";"Q15 Other congenital malformations of eye"
"Q16";"Q16";"Congenital malform of ear causing impairment of hearing";"Q16 Congenital malform of ear causing impairment of hearing"
"Q17";"Q17";"Other congenital malformations of ear";"Q17 Other congenital malformations of ear"
"Q18";"Q18";"Other congenital malformations of face and neck";"Q18 Other congenital malformations of face and neck"
"Q20";"Q20";"Congenital malformations of cardiac chambers and connections";"Q20 Congenital malformations of cardiac chambers and connections"
"Q21";"Q21";"Congenital malformations of cardiac septa";"Q21 Congenital malformations of cardiac septa"
"Q22";"Q22";"Congenital malformations of pulmonary and tricuspid valves";"Q22 Congenital malformations of pulmonary and tricuspid valves"
"Q23";"Q23";"Congenital malformations of aortic and mitral valves";"Q23 Congenital malformations of aortic and mitral valves"
"Q24";"Q24";"Other congenital malformations of heart";"Q24 Other congenital malformations of heart"
"Q25";"Q25";"Congenital malformations of great arteries";"Q25 Congenital malformations of great arteries"
"Q26";"Q26";"Congenital malformations of great veins";"Q26 Congenital malformations of great veins"
"Q27";"Q27";"Other congenital malformations of peripheral vascular system";"Q27 Other congenital malformations of peripheral vascular system"
"Q28";"Q28";"Other congenital malformations of circulatory system";"Q28 Other congenital malformations of circulatory system"
"Q30";"Q30";"Congenital malformations of nose";"Q30 Congenital malformations of nose"
"Q31";"Q31";"Congenital malformations of larynx";"Q31 Congenital malformations of larynx"
"Q32";"Q32";"Congenital malformations of trachea and bronchus";"Q32 Congenital malformations of trachea and bronchus"
"Q33";"Q33";"Congenital malformations of lung";"Q33 Congenital malformations of lung"
"Q34";"Q34";"Other congenital malformations of respiratory system";"Q34 Other congenital malformations of respiratory system"
"Q35";"Q35";"Cleft palate";"Q35 Cleft palate"
"Q36";"Q36";"Cleft lip";"Q36 Cleft lip"
"Q37";"Q37";"Cleft palate with cleft lip";"Q37 Cleft palate with cleft lip"
"Q38";"Q38";"Other congenital malformations of tongue, mouth and pharynx";"Q38 Other congenital malformations of tongue, mouth and pharynx"
"Q39";"Q39";"Congenital malformations of esophagus";"Q39 Congenital malformations of esophagus"
"Q40";"Q40";"Other congenital malformations of upper alimentary tract";"Q40 Other congenital malformations of upper alimentary tract"
"Q41";"Q41";"Congenital absence, atresia and stenosis of small intestine";"Q41 Congenital absence, atresia and stenosis of small intestine"
"Q42";"Q42";"Congenital absence, atresia and stenosis of large intestine";"Q42 Congenital absence, atresia and stenosis of large intestine"
"Q43";"Q43";"Other congenital malformations of intestine";"Q43 Other congenital malformations of intestine"
"Q44";"Q44";"Congenital malform of gallbladder, bile ducts and liver";"Q44 Congenital malform of gallbladder, bile ducts and liver"
"Q45";"Q45";"Other congenital malformations of digestive system";"Q45 Other congenital malformations of digestive system"
"Q50";"Q50";"Congen malform of ovaries, fallopian tubes & broad ligaments";"Q50 Congen malform of ovaries, fallopian tubes & broad ligaments"
"Q51";"Q51";"Congenital malformations of uterus and cervix";"Q51 Congenital malformations of uterus and cervix"
"Q52";"Q52";"Other congenital malformations of female genitalia";"Q52 Other congenital malformations of female genitalia"
"Q53";"Q53";"Undescended and ectopic testicle";"Q53 Undescended and ectopic testicle"
"Q54";"Q54";"Hypospadias";"Q54 Hypospadias"
"Q55";"Q55";"Other congenital malformations of male genital organs";"Q55 Other congenital malformations of male genital organs"
"Q56";"Q56";"Indeterminate sex and pseudohermaphroditism";"Q56 Indeterminate sex and pseudohermaphroditism"
"Q60";"Q60";"Renal agenesis and other reduction defects of kidney";"Q60 Renal agenesis and other reduction defects of kidney"
"Q61";"Q61";"Cystic kidney disease";"Q61 Cystic kidney disease"
"Q62";"Q62";"Congen defects of renal pelvis and congen malform of ureter";"Q62 Congen defects of renal pelvis and congen malform of ureter"
"Q63";"Q63";"Other congenital malformations of kidney";"Q63 Other congenital malformations of kidney"
"Q64";"Q64";"Other congenital malformations of urinary system";"Q64 Other congenital malformations of urinary system"
"Q65";"Q65";"Congenital deformities of hip";"Q65 Congenital deformities of hip"
"Q66";"Q66";"Congenital deformities of feet";"Q66 Congenital deformities of feet"
"Q67";"Q67";"Congenital ms deformities of head, face, spine and chest";"Q67 Congenital ms deformities of head, face, spine and chest"
"Q68";"Q68";"Other congenital musculoskeletal deformities";"Q68 Other congenital musculoskeletal deformities"
"Q69";"Q69";"Polydactyly";"Q69 Polydactyly"
"Q70";"Q70";"Syndactyly";"Q70 Syndactyly"
"Q71";"Q71";"Reduction defects of upper limb";"Q71 Reduction defects of upper limb"
"Q72";"Q72";"Reduction defects of lower limb";"Q72 Reduction defects of lower limb"
"Q73";"Q73";"Reduction defects of unspecified limb";"Q73 Reduction defects of unspecified limb"
"Q74";"Q74";"Other congenital malformations of limb(s)";"Q74 Other congenital malformations of limb(s)"
"Q75";"Q75";"Other congenital malformations of skull and face bones";"Q75 Other congenital malformations of skull and face bones"
"Q76";"Q76";"Congenital malformations of spine and bony thorax";"Q76 Congenital malformations of spine and bony thorax"
"Q77";"Q77";"Osteochndrdys w defects of growth of tubular bones and spine";"Q77 Osteochndrdys w defects of growth of tubular bones and spine"
"Q78";"Q78";"Other osteochondrodysplasias";"Q78 Other osteochondrodysplasias"
"Q79";"Q79";"Congenital malformations of musculoskeletal system, NEC";"Q79 Congenital malformations of musculoskeletal system, NEC"
"Q80";"Q80";"Congenital ichthyosis";"Q80 Congenital ichthyosis"
"Q81";"Q81";"Epidermolysis bullosa";"Q81 Epidermolysis bullosa"
"Q82";"Q82";"Other congenital malformations of skin";"Q82 Other congenital malformations of skin"
"Q83";"Q83";"Congenital malformations of breast";"Q83 Congenital malformations of breast"
"Q84";"Q84";"Other congenital malformations of integument";"Q84 Other congenital malformations of integument"
"Q85";"Q85";"Phakomatoses, not elsewhere classified";"Q85 Phakomatoses, not elsewhere classified"
"Q86";"Q86";"Congen malform syndromes due to known exogenous causes, NEC";"Q86 Congen malform syndromes due to known exogenous causes, NEC"
"Q87";"Q87";"Oth congenital malform syndromes affecting multiple systems";"Q87 Oth congenital malform syndromes affecting multiple systems"
"Q89";"Q89";"Other congenital malformations, not elsewhere classified";"Q89 Other congenital malformations, not elsewhere classified"
"Q90";"Q90";"Down syndrome";"Q90 Down syndrome"
"Q91";"Q91";"Trisomy 18 and Trisomy 13";"Q91 Trisomy 18 and Trisomy 13"
"Q92";"Q92";"Oth trisomies and partial trisomies of the autosomes, NEC";"Q92 Oth trisomies and partial trisomies of the autosomes, NEC"
"Q93";"Q93";"Monosomies and deletions from the autosomes, NEC";"Q93 Monosomies and deletions from the autosomes, NEC"
"Q95";"Q95";"Balanced rearrangements and structural markers, NEC";"Q95 Balanced rearrangements and structural markers, NEC"
"Q96";"Q96";"Turner's syndrome";"Q96 Turner's syndrome"
"Q97";"Q97";"Oth sex chromosome abnormalities, female phenotype, NEC";"Q97 Oth sex chromosome abnormalities, female phenotype, NEC"
"Q98";"Q98";"Oth sex chromosome abnormalities, male phenotype, NEC";"Q98 Oth sex chromosome abnormalities, male phenotype, NEC"
"Q99";"Q99";"Other chromosome abnormalities, not elsewhere classified";"Q99 Other chromosome abnormalities, not elsewhere classified"
"R00";"R00";"Abnormalities of heart beat";"R00 Abnormalities of heart beat"
"R01";"R01";"Cardiac murmurs and other cardiac sounds";"R01 Cardiac murmurs and other cardiac sounds"
"R03";"R03";"Abnormal blood-pressure reading, without diagnosis";"R03 Abnormal blood-pressure reading, without diagnosis"
"R04";"R04";"Hemorrhage from respiratory passages";"R04 Hemorrhage from respiratory passages"
"R05";"R05";"Cough";"R05 Cough"
"R06";"R06";"Abnormalities of breathing";"R06 Abnormalities of breathing"
"R07";"R07";"Pain in throat and chest";"R07 Pain in throat and chest"
"R09";"R09";"Oth symptoms and signs involving the circ and resp sys";"R09 Oth symptoms and signs involving the circ and resp sys"
"R10";"R10";"Abdominal and pelvic pain";"R10 Abdominal and pelvic pain"
"R11";"R11";"Nausea and vomiting";"R11 Nausea and vomiting"
"R12";"R12";"Heartburn";"R12 Heartburn"
"R13";"R13";"Aphagia and dysphagia";"R13 Aphagia and dysphagia"
"R14";"R14";"Flatulence and related conditions";"R14 Flatulence and related conditions"
"R15";"R15";"Fecal incontinence";"R15 Fecal incontinence"
"R16";"R16";"Hepatomegaly and splenomegaly, not elsewhere classified";"R16 Hepatomegaly and splenomegaly, not elsewhere classified"
"R17";"R17";"Unspecified jaundice";"R17 Unspecified jaundice"
"R18";"R18";"Ascites";"R18 Ascites"
"R19";"R19";"Oth symptoms and signs involving the dgstv sys and abdomen";"R19 Oth symptoms and signs involving the dgstv sys and abdomen"
"R20";"R20";"Disturbances of skin sensation";"R20 Disturbances of skin sensation"
"R21";"R21";"Rash and other nonspecific skin eruption";"R21 Rash and other nonspecific skin eruption"
"R22";"R22";"Localized swelling, mass and lump of skin, subcu";"R22 Localized swelling, mass and lump of skin, subcu"
"R23";"R23";"Other skin changes";"R23 Other skin changes"
"R25";"R25";"Abnormal involuntary movements";"R25 Abnormal involuntary movements"
"R26";"R26";"Abnormalities of gait and mobility";"R26 Abnormalities of gait and mobility"
"R27";"R27";"Other lack of coordination";"R27 Other lack of coordination"
"R29";"R29";"Oth symptoms and signs involving the nervous and ms systems";"R29 Oth symptoms and signs involving the nervous and ms systems"
"R30";"R30";"Pain associated with micturition";"R30 Pain associated with micturition"
"R31";"R31";"Hematuria";"R31 Hematuria"
"R32";"R32";"Unspecified urinary incontinence";"R32 Unspecified urinary incontinence"
"R33";"R33";"Retention of urine";"R33 Retention of urine"
"R34";"R34";"Anuria and oliguria";"R34 Anuria and oliguria"
"R35";"R35";"Polyuria";"R35 Polyuria"
"R36";"R36";"Urethral discharge";"R36 Urethral discharge"
"R37";"R37";"Sexual dysfunction, unspecified";"R37 Sexual dysfunction, unspecified"
"R39";"R39";"Oth and unsp symptoms and signs involving the GU sys";"R39 Oth and unsp symptoms and signs involving the GU sys"
"R40";"R40";"Somnolence, stupor and coma";"R40 Somnolence, stupor and coma"
"R41";"R41";"Oth symptoms and signs w cognitive functions and awareness";"R41 Oth symptoms and signs w cognitive functions and awareness"
"R42";"R42";"Dizziness and giddiness";"R42 Dizziness and giddiness"
"R43";"R43";"Disturbances of smell and taste";"R43 Disturbances of smell and taste"
"R44";"R44";"Oth symptoms and signs w general sensations and perceptions";"R44 Oth symptoms and signs w general sensations and perceptions"
"R45";"R45";"Symptoms and signs involving emotional state";"R45 Symptoms and signs involving emotional state"
"R46";"R46";"Symptoms and signs involving appearance and behavior";"R46 Symptoms and signs involving appearance and behavior"
"R47";"R47";"Speech disturbances, not elsewhere classified";"R47 Speech disturbances, not elsewhere classified"
"R48";"R48";"Dyslexia and oth symbolic dysfunctions, NEC";"R48 Dyslexia and oth symbolic dysfunctions, NEC"
"R49";"R49";"Voice and resonance disorders";"R49 Voice and resonance disorders"
"R50";"R50";"Fever of other and unknown origin";"R50 Fever of other and unknown origin"
"R51";"R51";"Headache";"R51 Headache"
"R52";"R52";"Pain, unspecified";"R52 Pain, unspecified"
"R53";"R53";"Malaise and fatigue";"R53 Malaise and fatigue"
"R54";"R54";"Age-related physical debility";"R54 Age-related physical debility"
"R55";"R55";"Syncope and collapse";"R55 Syncope and collapse"
"R56";"R56";"Convulsions, not elsewhere classified";"R56 Convulsions, not elsewhere classified"
"R57";"R57";"Shock, not elsewhere classified";"R57 Shock, not elsewhere classified"
"R58";"R58";"Hemorrhage, not elsewhere classified";"R58 Hemorrhage, not elsewhere classified"
"R59";"R59";"Enlarged lymph nodes";"R59 Enlarged lymph nodes"
"R60";"R60";"Edema, not elsewhere classified";"R60 Edema, not elsewhere classified"
"R61";"R61";"Generalized hyperhidrosis";"R61 Generalized hyperhidrosis"
